episode,score,avg10,best,epsilon
1,6.3999999999999275,6.3999999999999275,6.3999999999999275,0.9980019986673331
2,4.149999999999949,5.274999999999938,6.3999999999999275,0.9960079893439915
3,4.149999999999949,4.899999999999942,6.3999999999999275,0.9940179640539353
4,5.799999999999933,5.12499999999994,6.3999999999999275,0.9920319148370607
5,4.149999999999949,4.929999999999941,6.3999999999999275,0.9900498337491681
6,5.199999999999939,4.974999999999941,6.3999999999999275,0.9880717128619305
7,4.149999999999949,4.857142857142799,6.3999999999999275,0.9860975442628619
8,4.149999999999949,4.768749999999943,6.3999999999999275,0.9841273200552851
9,4.149999999999949,4.699999999999943,6.3999999999999275,0.9821610323583008
10,4.149999999999949,4.6449999999999445,6.3999999999999275,0.9801986733067553
11,4.149999999999949,4.419999999999947,6.3999999999999275,0.97824023505121
12,4.149999999999949,4.419999999999947,6.3999999999999275,0.9762857097579093
13,5.199999999999939,4.524999999999945,6.3999999999999275,0.9743350896087494
14,6.999999999999922,4.6449999999999445,6.999999999999922,0.9723883668012469
15,4.149999999999949,4.6449999999999445,6.999999999999922,0.9704455335485082
16,5.199999999999939,4.6449999999999445,6.999999999999922,0.9685065820791976
17,4.149999999999949,4.6449999999999445,6.999999999999922,0.9665715046375066
18,4.149999999999949,4.6449999999999445,6.999999999999922,0.9646402934831231
19,4.149999999999949,4.6449999999999445,6.999999999999922,0.9627129408911995
20,4.149999999999949,4.6449999999999445,6.999999999999922,0.9607894391523232
21,4.599999999999945,4.6899999999999435,6.999999999999922,0.9588697805724845
22,7.599999999999916,5.034999999999941,7.599999999999916,0.9569539574730467
23,4.149999999999949,4.929999999999941,7.599999999999916,0.9550419621907147
24,4.149999999999949,4.6449999999999445,7.599999999999916,0.9531337870775047
25,4.149999999999949,4.6449999999999445,7.599999999999916,0.951229424500714
26,4.599999999999945,4.584999999999945,7.599999999999916,0.9493288668428895
27,4.599999999999945,4.629999999999944,7.599999999999916,0.9474321065017983
28,4.149999999999949,4.629999999999944,7.599999999999916,0.9455391358903963
29,4.149999999999949,4.629999999999944,7.599999999999916,0.9436499474367985
30,4.149999999999949,4.629999999999944,7.599999999999916,0.9417645335842487
31,4.149999999999949,4.584999999999945,7.599999999999916,0.9398828867910889
32,6.3999999999999275,4.464999999999946,7.599999999999916,0.9380049995307295
33,6.3999999999999275,4.6899999999999435,7.599999999999916,0.9361308642916188
34,5.199999999999939,4.794999999999943,7.599999999999916,0.9342604735772135
35,4.149999999999949,4.794999999999943,7.599999999999916,0.9323938199059483
36,4.599999999999945,4.794999999999943,7.599999999999916,0.9305308958112057
37,5.199999999999939,4.854999999999942,7.599999999999916,0.9286716938412872
38,6.999999999999922,5.139999999999939,7.599999999999916,0.9268162065593822
39,4.599999999999945,5.184999999999939,7.599999999999916,0.9249644265435393
40,4.149999999999949,5.184999999999939,7.599999999999916,0.9231163463866358
41,4.149999999999949,5.184999999999939,7.599999999999916,0.9212719586963487
42,4.149999999999949,4.959999999999941,7.599999999999916,0.9194312560951247
