episode,score,avg10,best,epsilon
1,-26.966000000000005,-26.966000000000005,0,0.9960079893439915
1,-26.966000000000005,-26.966000000000005,0,0.9960079893439915
2,0.38400000000000034,-13.291000000000002,0.38400000000000034,0.9920319148370607
2,0.38400000000000034,-13.291000000000002,0.38400000000000034,0.9920319148370607
3,-27.25400000000002,-17.94533333333334,0.38400000000000034,0.9880717128619305
3,-27.25400000000002,-17.94533333333334,0.38400000000000034,0.9880717128619305
4,17.720000000000034,-9.028999999999996,17.720000000000034,0.9841273200552851
4,17.720000000000034,-9.028999999999996,17.720000000000034,0.9841273200552851
5,-27.03000000000003,-12.629200000000003,17.720000000000034,0.9801986733067553
5,-27.03000000000003,-12.629200000000003,17.720000000000034,0.9801986733067553
6,-11.40799999999999,-12.425666666666666,17.720000000000034,0.9762857097579093
6,-11.40799999999999,-12.425666666666666,17.720000000000034,0.9762857097579093
7,-27.296000000000017,-14.550000000000002,17.720000000000034,0.9723883668012469
7,-27.296000000000017,-14.550000000000002,17.720000000000034,0.9723883668012469
8,-26.862000000000016,-16.089000000000006,17.720000000000034,0.9685065820791976
8,-26.862000000000016,-16.089000000000006,17.720000000000034,0.9685065820791976
9,-10.870000000000008,-15.509111111111118,17.720000000000034,0.9646402934831231
9,-10.870000000000008,-15.509111111111118,17.720000000000034,0.9646402934831231
10,-27.37600000000003,-16.69580000000001,17.720000000000034,0.9607894391523232
10,-27.37600000000003,-16.69580000000001,17.720000000000034,0.9607894391523232
11,-27.328000000000024,-16.73200000000001,17.720000000000034,0.9569539574730467
11,-27.328000000000024,-16.73200000000001,17.720000000000034,0.9569539574730467
12,22.844000000000058,-14.486000000000004,22.844000000000058,0.9531337870775047
12,22.844000000000058,-14.486000000000004,22.844000000000058,0.9531337870775047
13,-27.11400000000002,-14.472000000000003,22.844000000000058,0.9493288668428895
13,-27.11400000000002,-14.472000000000003,22.844000000000058,0.9493288668428895
14,-27.132000000000012,-18.957200000000007,22.844000000000058,0.9455391358903963
14,-27.132000000000012,-18.957200000000007,22.844000000000058,0.9455391358903963
15,-27.376000000000026,-18.99180000000001,22.844000000000058,0.9417645335842487
15,-27.376000000000026,-18.99180000000001,22.844000000000058,0.9417645335842487
16,-27.328000000000017,-20.58380000000001,22.844000000000058,0.9380049995307295
16,-27.328000000000017,-20.58380000000001,22.844000000000058,0.9380049995307295
17,-27.290000000000024,-20.583200000000012,22.844000000000058,0.9342604735772135
17,-27.290000000000024,-20.583200000000012,22.844000000000058,0.9342604735772135
18,-27.164000000000026,-20.613400000000013,22.844000000000058,0.9305308958112057
18,-27.164000000000026,-20.613400000000013,22.844000000000058,0.9305308958112057
19,-26.998000000000005,-22.226200000000013,22.844000000000058,0.9268162065593822
19,-26.998000000000005,-22.226200000000013,22.844000000000058,0.9268162065593822
20,-26.864000000000004,-22.17500000000001,22.844000000000058,0.9231163463866358
20,-26.864000000000004,-22.17500000000001,22.844000000000058,0.9231163463866358
21,-27.32800000000002,-22.175000000000008,22.844000000000058,0.9194312560951247
21,-27.32800000000002,-22.175000000000008,22.844000000000058,0.9194312560951247
22,-27.35200000000002,-27.19460000000002,22.844000000000058,0.9157608767233256
22,-27.35200000000002,-27.19460000000002,22.844000000000058,0.9157608767233256
23,-27.28000000000001,-27.21120000000002,22.844000000000058,0.9121051495450904
23,-27.28000000000001,-27.21120000000002,22.844000000000058,0.9121051495450904
24,-26.98000000000001,-27.196000000000016,22.844000000000058,0.9084640160687062
24,-26.98000000000001,-27.196000000000016,22.844000000000058,0.9084640160687062
25,-27.32000000000002,-27.190400000000018,22.844000000000058,0.9048374180359595
25,-27.32000000000002,-27.190400000000018,22.844000000000058,0.9048374180359595
26,-26.854000000000006,-27.14300000000002,22.844000000000058,0.9012252974212048
26,-26.854000000000006,-27.14300000000002,22.844000000000058,0.9012252974212048
27,-27.33600000000002,-27.14760000000002,22.844000000000058,0.8976275964304349
27,-27.33600000000002,-27.14760000000002,22.844000000000058,0.8976275964304349
28,22.24600000000006,-22.206600000000005,22.844000000000058,0.8940442575003572
28,22.24600000000006,-22.206600000000005,22.844000000000058,0.8940442575003572
29,20.170000000000023,-17.489800000000002,22.844000000000058,0.8904752232974726
